"Key","Link","Title","Status","Points","Description","Assignee","Created","Epic"
"CT-5945","https://caretracker.atlassian.net/browse/CT-5945","ImmTrac2 VXU Retest: Real Patient Names for 5 Test Patients (Newborn, Teenager, Young Adult, Senior, No-Consent)","Development","","Resubmit all 5 VXU test plan patients using real (non-placeholder) patient names per DSHS guidance, following the CLR-206 block encountered under test/placeholder data. Track resulting ACK warnings and finalize the consolidated VXU test plan document.","Benjamin Martelle","2026-07-07 13:23:58 Eastern Daylight Time",""
"CT-5943","https://caretracker.atlassian.net/browse/CT-5943","[TEST] [TEST-PCID-0001] Scheduling dialog fails to open","Closed","","h3. PCID TEST-PCID-0001 h3. Group ID TEST-GROUP-01 h3. Entity ID TEST-ENTITY-01 h3. Steps to Reproduce # Log in as test user # Navigate to the Scheduling module # Click ""New Appointment"" h3. Expected Behavior The new appointment dialog should open. h3. Actual Behavior The dialog fails to open and a blank screen is shown instead. h3. Environment / Version Test environment, CareTracker v10.x h3. Reporter Contact test@example.com (this is a test ticket created to validate the caretracker-bug-report","Unassigned","2026-07-07 11:51:25 Eastern Daylight Time",""
"CT-5942","https://caretracker.atlassian.net/browse/CT-5942","CT-5942: DEV db to QA db compare for objects needed to update DEV db.","Dev Ready","","Using SQL Developer, need to do a Database DIFF between DEV and QA databases to update DEV db with any deficiencies.","Mark Goodwin","2026-07-07 11:40:15 Eastern Daylight Time",""
"CT-5917","https://caretracker.atlassian.net/browse/CT-5917","Immtrac SOAP Testing - Sim Family","Development","","Sim Family Clinic, P.A. 13910 *Texas Immunization Registry* Bidirectional Data Exchange: VXU Test Plan h1. Overview Your organization will use this test plan and your own test patients to submit immunizations and registry consent (if applicable) via your Electronic Health Records (EHR). The test plan requires you to create 5 test patients in your EHR that meet the indicated scenario listed for the test patient. Â The test plan will cover various scenarios, including reporting: Â·Â Â Â Â Â Â Â Â ","Benjamin Martelle","2026-07-01 08:33:55 Eastern Daylight Time",""
"CT-5913","https://caretracker.atlassian.net/browse/CT-5913","Chart Summary not publishing for days","Closed","","*CPID*: 13138 *PCID*: 14180 *GroupID: 18105* *INC ID*: CAS-612414-P1W1K8 *Contact*: Brian Schwan *Issue*: When trying to use send to queue option for Chart Summary the file does not complete for days no matter what size the file is. *Steps to Reproduce:* Pt Search 70934742, 103899277, 110464758 and 99974428 >Click on Medical Record on the left side of the screen>From Chart Summary page click on print dropdown>Click on Print Chart Summary>Patient has large number of documents>Send Chart Summary t","Unassigned","2026-06-30 12:51:28 Eastern Daylight Time",""
"CT-5903","https://caretracker.atlassian.net/browse/CT-5903","QA FHIR Sandbox - Copy from PCID 13352 into a new company","Closed","","Please copy data from PCID 13352 (QA) into a new company called FHIR Sandbox. This data must be sent up to FHIR. ","Elise Yacovone","2026-06-29 08:57:47 Eastern Daylight Time",""
"CT-5892","https://caretracker.atlassian.net/browse/CT-5892","CT-5892: LONG OPS - BULK_CHECK @show_sql_by_sqlid.sql 030nxz8cuj424","Closed","","{noformat}-- @show_sql_by_sqlid.sql 030nxz8cuj424 SELECT /* bulkCheckList.asp L15 */ * FROM ( WITH INSURANCE_CHANGE_LOG_COUNT AS ( SELECT BC.BULK_CHECK_ID AS BULK_CHECK_ID, COUNT(*) AS LOG_COUNT FROM BULK_CHECK BC, BULK_CHECK_INS_CHANGE_LOG BCICL WHERE BC.BULK_CHECK_ID = BCICL.BULK_CHECK_ID GROUP BY BC.BULK_CHECK_ID ) SELECT /*+ INDEX (BC BC_PC_STATUS) */ BC.BULK_CHECK_ID, BC.PARSED_835_FILENAME, BC.PARENT_COMPANY_ID, BC.FROM_835_YN, BC.INSURANCE_ID, REFERENCE_NO, BC.PAYMENT_TYPE, BC.PAYEE_NAME,","Unassigned","2026-06-26 10:53:49 Eastern Daylight Time",""
"CT-5891","https://caretracker.atlassian.net/browse/CT-5891","CT-5891: LONG OPS - PAT_PROVIDER @show_sql_by_sqlid.sql 47jupus30ymuh","Closed","","{noformat}-- @show_sql_by_sqlid.sql 47jupus30ymuh SELECT * FROM ( SELECT /* AutoWriteOff.asp L404 5MAY2008 CR3470*/ SUBQ.*, NVL( GET_PIO_BALANCE_BY_ENTITY_OPT(ENTITY_ID, :""SYS_B_0""), :""SYS_B_1"" ) PAT_BALANCE, FN_GETNAME_LF(ENTITY_ID) PATNAME, GETPATPROVIDERNAME(SUBQ.BILLING_PROVIDER_ID) BILLING_PROVIDER , GETPATPROVIDERNAME(SUBQ.PROVIDER_ID) PROVIDER FROM ( SELECT NVL( SUM(PFT.DEBIT_AMOUNT - PFT.CREDIT_AMOUNT), :""SYS_B_2"" ) AS BALANCE, PPB_LIST.* FROM ( SELECT DISTINCT ( PFT.PAT_PROCEDURE_BALANC","Unassigned","2026-06-26 10:47:01 Eastern Daylight Time",""
"CT-5881","https://caretracker.atlassian.net/browse/CT-5881","v9.6.2026 Migration Wave 1","Closed","","Attached is the lists for Wave 1, please move these practices to Rolling, and post the following system message to the clients We are excited to announce that your company has been updated to the latest version of CareTracker, 9.6.2026 *To ensure optimal performance, please clear your browser cache.* For details on the new features, enhancements, and fixes, visit Help > Quick Links to review the release notes. Thank you!","Unassigned","2026-06-24 16:56:14 Eastern Daylight Time",""
"CT-5871","https://caretracker.atlassian.net/browse/CT-5871","CT-5871: LONG OPS - CLINICAL_NOTE/CLINICAL_NOTE_MEDCIN issue - needs PC id","Closed","","CT-5871: LONG OPS - CLINICAL_NOTE/CLINICAL_NOTE_MEDCIN issue - needs PC id This appears to be a Crystal Report based on the query construction. Report should filter by PC_ID along with AI rewrite recommentations.","Unassigned","2026-06-23 14:22:54 Eastern Daylight Time",""
